=== START CHECK: 04/07/2026, 22.15.09 ===
Fetching all series from Supabase...
✅ MATCH: "Because This Is My First Life" matches "Because This Is My First Life"
✅ MATCH: "Go Back Couple" matches "Go Back Couple"
✅ MATCH: "The Resident" matches "The Resident"
✅ MATCH: "Black" matches "Black"
✅ MATCH: "Suburra: Blood on Rome" matches "Suburra: Blood on Rome"
✅ MATCH: "Final Fantasy XIV: Dad of Light" matches "Final Fantasy XIV: Dad of Light"
✅ MATCH: "The Romanoffs" matches "The Romanoffs"
✅ MATCH: "Greenhouse Academy" matches "Greenhouse Academy"
✅ MATCH: "Yellowstone" matches "Yellowstone"
✅ MATCH: "Temperature of Love" matches "Temperature of Love"
✅ MATCH: "Warrior" matches "Warrior"
✅ MATCH: "Godless" matches "Godless"
✅ MATCH: "PuraOre! ~Pride of Orange~" matches "PuraOre! ~Pride of Orange~"
✅ MATCH: "Future Man" matches "Future Man"
✅ MATCH: "My Mr. Mermaid" matches "My Mr. Mermaid"
✅ MATCH: "Grand Blue Dreaming" matches "Grand Blue Dreaming"
✅ MATCH: "Scissor Seven" matches "Scissor Seven"
✅ MATCH: "Another Life" matches "Another Life"
✅ MATCH: "Partners for Justice" matches "Partners for Justice"
✅ MATCH: "Cunk on..." matches "Cunk on..."
✅ MATCH: "The Protector" matches "The Protector"
✅ MATCH: "Aggretsuko" matches "Aggretsuko"
✅ MATCH: "Clean with Passion for Now" matches "Clean with Passion for Now"
✅ MATCH: "Busted!" matches "Busted!"
✅ MATCH: "Lawless Lawyer" matches "Lawless Lawyer"
✅ MATCH: "About Time" matches "About Time"
✅ MATCH: "The Piano Forest" matches "The Piano Forest"
✅ MATCH: "Cobra Kai" matches "Cobra Kai"
✅ MATCH: "My Roommate Is a Gumiho" matches "My Roommate Is a Gumiho"
✅ MATCH: "DMZ" matches "DMZ"
✅ MATCH: "Café Minamdang" matches "Café Minamdang"
✅ MATCH: "Something in the Rain" matches "Something in the Rain"
✅ MATCH: "Sword Art Online Alternative: Gun Gale Online" matches "Sword Art Online Alternative: Gun Gale Online"
✅ MATCH: "You" matches "You"
✅ MATCH: "Dragons: Race to the Edge" matches "Dragons: Race to the Edge"
✅ MATCH: "Sintonia" matches "Sintonia"
✅ MATCH: "A Poem A Day" matches "A Poem A Day"
✅ MATCH: "Umamusume: Pretty Derby" matches "Umamusume: Pretty Derby"
✅ MATCH: "Wild Wild Country" matches "Wild Wild Country"
✅ MATCH: "Ugly Delicious" matches "Ugly Delicious"
✅ MATCH: "Tempted" matches "Tempted"
✅ MATCH: "BG: Personal Bodyguard" matches "BG: Personal Bodyguard"
✅ MATCH: "A Discovery of Witches" matches "A Discovery of Witches"
✅ MATCH: "B: The Beginning" matches "B: The Beginning"
✅ MATCH: "Maradona, Blessed Dream" matches "Maradona, Blessed Dream"
✅ MATCH: "Alexa & Katie" matches "Alexa & Katie"
✅ MATCH: "Golden Kamuy" matches "Golden Kamuy"
✅ MATCH: "On My Block" matches "On My Block"
✅ MATCH: "Elite" matches "Elite"
✅ MATCH: "My Mister" matches "My Mister"
✅ MATCH: "Welcome to Waikiki" matches "Welcome to Waikiki"
✅ MATCH: "The Boys" matches "The Boys"
✅ MATCH: "Everything Sucks!" matches "Everything Sucks!"
✅ MATCH: "Succession" matches "Succession"
✅ MATCH: "Dirty Money" matches "Dirty Money"
✅ MATCH: "Mayans M.C." matches "Mayans M.C."
✅ MATCH: "Rotten" matches "Rotten"
✅ MATCH: "Derry Girls" matches "Derry Girls"
✅ MATCH: "DARLING in the FRANXX" matches "DARLING in the FRANXX"
✅ MATCH: "V Wars" matches "V Wars"
✅ MATCH: "Living with Yourself" matches "Living with Yourself"
✅ MATCH: "The Angel Next Door Spoils Me Rotten" matches "The Angel Next Door Spoils Me Rotten"
✅ MATCH: "Dead to Me" matches "Dead to Me"
✅ MATCH: "Devs" matches "Devs"
✅ MATCH: "I AM A KILLER" matches "I AM A KILLER"
✅ MATCH: "The Time Traveler's Wife" matches "The Time Traveler's Wife"
✅ MATCH: "Messiah" matches "Messiah"
✅ MATCH: "The Kominsky Method" matches "The Kominsky Method"
✅ MATCH: "Dispatches from Elsewhere" matches "Dispatches from Elsewhere"
✅ MATCH: "The Dragon Prince" matches "The Dragon Prince"
✅ MATCH: "Stepmom and Daughter Blues" matches "Stepmom and Daughter Blues"
✅ MATCH: "DC's Stargirl" matches "DC's Stargirl"
✅ MATCH: "Narcos: Mexico" matches "Narcos: Mexico"
✅ MATCH: "A Little Room for Hope" matches "A Little Room for Hope"
✅ MATCH: "Still 17" matches "Still 17"
✅ MATCH: "The Nevers" matches "The Nevers"
✅ MATCH: "ULTRAMAN" matches "ULTRAMAN"
✅ MATCH: "Urusei Yatsura" matches "Urusei Yatsura"
✅ MATCH: "Insatiable" matches "Insatiable"
✅ MATCH: "Familiar Wife" matches "Familiar Wife"
✅ MATCH: "My ID is Gangnam Beauty" matches "My ID is Gangnam Beauty"
✅ MATCH: "BAKI" matches "BAKI"
✅ MATCH: "Banana Fish" matches "Banana Fish"
✅ MATCH: "New Amsterdam" matches "New Amsterdam"
✅ MATCH: "Little America" matches "Little America"
✅ MATCH: "The Good Cop" matches "The Good Cop"
✅ MATCH: "Bodyguard" matches "Bodyguard"
✅ MATCH: "Larva" matches "Larva"
✅ MATCH: "Truth Be Told" matches "Truth Be Told"
✅ MATCH: "Life" matches "Life"
✅ MATCH: "The Hollow" matches "The Hollow"
✅ MATCH: "Watchmen" matches "Watchmen"
✅ MATCH: "The Rookie" matches "The Rookie"
✅ MATCH: "She-Ra and the Princesses of Power" matches "She-Ra and the Princesses of Power"
✅ MATCH: "Manifest" matches "Manifest"
✅ MATCH: "Reign of the Seven Spellblades" matches "Reign of the Seven Spellblades"
✅ MATCH: "Project Blue Book" matches "Project Blue Book"
✅ MATCH: "Hunters" matches "Hunters"
✅ MATCH: "Pennyworth: The Origin of Batman's Butler" matches "Pennyworth: The Origin of Batman's Butler"
✅ MATCH: "Doom Patrol" matches "Doom Patrol"
✅ MATCH: "Legacies" matches "Legacies"
✅ MATCH: "After Life" matches "After Life"
✅ MATCH: "Black Pean" matches "Black Pean"
✅ MATCH: "Dokgo Rewind" matches "Dokgo Rewind"
✅ MATCH: "Hymn of Death" matches "Hymn of Death"
✅ MATCH: "Guillermo del Toro's Cabinet of Curiosities" matches "Guillermo del Toro's Cabinet of Curiosities"
✅ MATCH: "What We Do in the Shadows" matches "What We Do in the Shadows"
✅ MATCH: "Mrs. America" matches "Mrs. America"
✅ MATCH: "Daybreak" matches "Daybreak"
✅ MATCH: "When Time Stopped" matches "When Time Stopped"
✅ MATCH: "Times" matches "Times"
✅ MATCH: "Meet Me After School" matches "Meet Me After School"
✅ MATCH: "Kaguya-sama: Love Is War" matches "Kaguya-sama: Love Is War"
✅ MATCH: "revisions" matches "revisions"
✅ MATCH: "Dororo" matches "Dororo"
✅ MATCH: "The Promised Neverland" matches "The Promised Neverland"
✅ MATCH: "Folklore" matches "Folklore"
✅ MATCH: "Karakuri Circus" matches "Karakuri Circus"
✅ MATCH: "Spinning Out" matches "Spinning Out"
✅ MATCH: "The Act" matches "The Act"
✅ MATCH: "The Mandalorian" matches "The Mandalorian"
✅ MATCH: "YG Future Strategy Office" matches "YG Future Strategy Office"
✅ MATCH: "Lovecraft Country" matches "Lovecraft Country"
✅ MATCH: "1983" matches "1983"
✅ MATCH: "The Baby" matches "The Baby"
✅ MATCH: "The Zone: Survival Mission" matches "The Zone: Survival Mission"
✅ MATCH: "The Bureau of Magical Things" matches "The Bureau of Magical Things"
✅ MATCH: "The Righteous Gemstones" matches "The Righteous Gemstones"
✅ MATCH: "Youth" matches "Youth"
✅ MATCH: "Kung Fu Panda: The Paws of Destiny" matches "Kung Fu Panda: The Paws of Destiny"
✅ MATCH: "Catch-22" matches "Catch-22"
✅ MATCH: "That Time I Got Reincarnated as a Slime" matches "That Time I Got Reincarnated as a Slime"
✅ MATCH: "Emily in Paris" matches "Emily in Paris"
✅ MATCH: "Goblin Slayer" matches "Goblin Slayer"
✅ MATCH: "The Third Charm" matches "The Third Charm"
✅ MATCH: "Hilda" matches "Hilda"
✅ MATCH: "Avatar the Last Airbender" matches "Avatar: The Last Airbender"
✅ MATCH: "Matrimonial Chaos" matches "Matrimonial Chaos"
✅ MATCH: "Where Stars Land" matches "Where Stars Land"
✅ MATCH: "Cannon Busters" matches "Cannon Busters"
✅ MATCH: "Unbelievable" matches "Unbelievable"
✅ MATCH: "Orient" matches "Orient"
✅ MATCH: "A Taiwanese Tale of Two Cities" matches "A Taiwanese Tale of Two Cities"
✅ MATCH: "Player" matches "Player"
✅ MATCH: "Paradise PD" matches "Paradise PD"
✅ MATCH: "The Guest" matches "The Guest"
✅ MATCH: "100 Days My Prince" matches "100 Days My Prince"
✅ MATCH: "The Gilded Age" matches "The Gilded Age"
✅ MATCH: "Love Song" matches "Love Song"
✅ MATCH: "Star Trek: Lower Decks" matches "Star Trek: Lower Decks"
✅ MATCH: "7SEEDS" matches "7SEEDS"
✅ MATCH: "Demon Slayer: Kimetsu no Yaiba" matches "Demon Slayer: Kimetsu no Yaiba"
✅ MATCH: "Space Force" matches "Space Force"
✅ MATCH: "The Widow" matches "The Widow"
✅ MATCH: "Perry Mason" matches "Perry Mason"
✅ MATCH: "Conversations with a Killer: The Ted Bundy Tapes" matches "Conversations with a Killer: The Ted Bundy Tapes"
✅ MATCH: "Trapped in a Dating Sim: The World of Otome Games Is Tough for Mobs" matches "Trapped in a Dating Sim: The World of Otome Games Is Tough for Mobs"
✅ MATCH: "Raised by Wolves" matches "Raised by Wolves"
✅ MATCH: "Shadow and Bone" matches "Shadow and Bone"
✅ MATCH: "Lorena" matches "Lorena"
✅ MATCH: "PEN15" matches "PEN15"
✅ MATCH: "Legal High" matches "Legal High"
✅ MATCH: "Euphoria" matches "Euphoria"
✅ MATCH: "Mr. Hiiragi's Homeroom" matches "Mr. Hiiragi's Homeroom"
✅ MATCH: "The A List" matches "The A List"
✅ MATCH: "The Crowned Clown" matches "The Crowned Clown"
✅ MATCH: "Touch Your Heart" matches "Touch Your Heart"
✅ MATCH: "WandaVision" matches "WandaVision"
✅ MATCH: "Romance Is a Bonus Book" matches "Romance Is a Bonus Book"
✅ MATCH: "Original Sin" matches "Original Sin"
✅ MATCH: "The Chosen" matches "The Chosen"
✅ MATCH: "The Sound of Your Heart: Reboot" matches "The Sound of Your Heart: Reboot"
✅ MATCH: "I've Somehow Gotten Stronger When I Improved My Farm-Related Skills." matches "I've Somehow Gotten Stronger When I Improved My Farm-Related Skills."
✅ MATCH: "Russian Doll" matches "Russian Doll"
✅ MATCH: "The Lord of the Rings: The Rings of Power" matches "The Lord of the Rings: The Rings of Power"
✅ MATCH: "The Bridge" matches "The Bridge"
✅ MATCH: "The Quintessential Quintuplets" matches "The Quintessential Quintuplets"
✅ MATCH: "Endro!" matches "Endro!"
✅ MATCH: "Prison Princesses" matches "Prison Princesses"
✅ MATCH: "Blade Runner: Black Lotus" matches "Blade Runner: Black Lotus"
✅ MATCH: "Cowboy Bebop" matches "Cowboy Bebop"
✅ MATCH: "My Strange Hero" matches "My Strange Hero"
✅ MATCH: "Better Than Us" matches "Better Than Us"
✅ MATCH: "SKY Castle" matches "SKY Castle"
✅ MATCH: "Jett" matches "Jett"
✅ MATCH: "Wayne" matches "Wayne"
✅ MATCH: "Zootopia+" matches "Zootopia+"
✅ MATCH: "Love You as the World Ends" matches "Love You as the World Ends"
✅ MATCH: "Duty After School" matches "Duty After School"
✅ MATCH: "Mirzapur" matches "Mirzapur"
✅ MATCH: "Treadstone" matches "Treadstone"
✅ MATCH: "Encounter" matches "Encounter"
✅ MATCH: "Our Planet" matches "Our Planet"
✅ MATCH: "The Plot Against America" matches "The Plot Against America"
✅ MATCH: "Andor" matches "Andor"
✅ MATCH: "The Undoing" matches "The Undoing"
✅ MATCH: "Intelligence" matches "Intelligence"
✅ MATCH: "Servant" matches "Servant"
✅ MATCH: "Black Summer" matches "Black Summer"
✅ MATCH: "Demon Lord, Retry!" matches "Demon Lord, Retry!"
✅ MATCH: "Cinderella Chef" matches "Cinderella Chef"
✅ MATCH: "The World Between Us" matches "The World Between Us"
✅ MATCH: "Bridgerton" matches "Bridgerton"
✅ MATCH: "BOCCHI THE ROCK!" matches "BOCCHI THE ROCK!"
✅ MATCH: "My Husband Won't Fit" matches "My Husband Won't Fit"
✅ MATCH: "Defending Jacob" matches "Defending Jacob"
✅ MATCH: "Toy Boy" matches "Toy Boy"
✅ MATCH: "You vs. Wild" matches "You vs. Wild"
✅ MATCH: "Warrior Nun" matches "Warrior Nun"
✅ MATCH: "A-TEEN" matches "A-TEEN"
✅ MATCH: "Her Private Life" matches "Her Private Life"
✅ MATCH: "My First First Love" matches "My First First Love"
✅ MATCH: "Delhi Crime" matches "Delhi Crime"
✅ MATCH: "Why Women Kill" matches "Why Women Kill"
✅ MATCH: "He Is Psychometric" matches "He Is Psychometric"
✅ MATCH: "I Hear You" matches "I Hear You"
✅ MATCH: "Doctor Prisoner" matches "Doctor Prisoner"
✅ MATCH: "Kill It" matches "Kill It"
✅ MATCH: "Heavenly Sword and Dragon Slaying Sabre" matches "Heavenly Sword and Dragon Slaying Sabre"
✅ MATCH: "Formula 1: Drive to Survive" matches "Formula 1: Drive to Survive"
✅ MATCH: "Firefly Lane" matches "Firefly Lane"
✅ MATCH: "Undercover" matches "Undercover"
✅ MATCH: "The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat" matches "The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat"
✅ MATCH: "Love, Death & Robots" matches "Love, Death & Robots"
✅ MATCH: "Designated Survivor: 60 Days" matches "Designated Survivor: 60 Days"
✅ MATCH: "The Hot Zone" matches "The Hot Zone"
✅ MATCH: "Wu Assassins" matches "Wu Assassins"
✅ MATCH: "Possessed" matches "Possessed"
✅ MATCH: "Well-Intended Love" matches "Well-Intended Love"
✅ MATCH: "Hightown" matches "Hightown"
✅ MATCH: "The Light in Your Eyes" matches "The Light in Your Eyes"
✅ MATCH: "Your Honor" matches "Your Honor"
✅ MATCH: "Locke & Key" matches "Locke & Key"
✅ MATCH: "The Stand" matches "The Stand"
✅ MATCH: "War of the Worlds" matches "War of the Worlds"
✅ MATCH: "Undone" matches "Undone"
✅ MATCH: "Upload" matches "Upload"
✅ MATCH: "Wolf Pack" matches "Wolf Pack"
✅ MATCH: "Lovers of the Red Sky" matches "Lovers of the Red Sky"
✅ MATCH: "Arifureta: From Commonplace to World's Strongest" matches "Arifureta: From Commonplace to World's Strongest"
✅ MATCH: "Dr. STONE" matches "Dr. STONE"
✅ MATCH: "Star Trek: Picard" matches "Star Trek: Picard"
✅ MATCH: "1899" matches "1899"
✅ MATCH: "The Last Czars" matches "The Last Czars"
✅ MATCH: "KENGAN ASHURA" matches "KENGAN ASHURA"
✅ MATCH: "Chucky" matches "Chucky"
✅ MATCH: "Monsters at Work" matches "Monsters at Work"
✅ MATCH: "At Eighteen" matches "At Eighteen"
✅ MATCH: "Tokyo Vice" matches "Tokyo Vice"
✅ MATCH: "Ghost in the Shell: SAC_2045" matches "Ghost in the Shell: SAC_2045"
✅ MATCH: "The Morning Show" matches "The Morning Show"
✅ MATCH: "The Third Day" matches "The Third Day"
✅ MATCH: "Little Fires Everywhere" matches "Little Fires Everywhere"
✅ MATCH: "Dune: Prophecy" matches "Dune: Prophecy"
✅ MATCH: "Desperate Mr. X" matches "Desperate Mr. X"
✅ MATCH: "Carnival Row" matches "Carnival Row"
✅ MATCH: "Strangers from Hell" matches "Strangers from Hell"
✅ MATCH: "Dickinson" matches "Dickinson"
✅ MATCH: "30 Coins" matches "30 Coins"
✅ MATCH: "Chief of Staff" matches "Chief of Staff"
✅ MATCH: "The Pacific War in Color" matches "The Pacific War in Color"
✅ MATCH: "Sword Snow Stride" matches "Sword Snow Stride"
✅ MATCH: "One Spring Night" matches "One Spring Night"
✅ MATCH: "Primal" matches "Primal"
✅ MATCH: "Search: WWW" matches "Search: WWW"
✅ MATCH: "9-1-1: Lone Star" matches "9-1-1: Lone Star"
✅ MATCH: "Batwoman" matches "Batwoman"
✅ MATCH: "Kota Factory" matches "Kota Factory"
✅ MATCH: "Nine Perfect Strangers" matches "Nine Perfect Strangers"
✅ MATCH: "Helstrom" matches "Helstrom"
✅ MATCH: "My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!" matches "My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!"
✅ MATCH: "The Secret Life of My Secretary" matches "The Secret Life of My Secretary"
✅ MATCH: "I Think You Should Leave with Tim Robinson" matches "I Think You Should Leave with Tim Robinson"
✅ MATCH: "Looking for Alaska" matches "Looking for Alaska"
✅ MATCH: "Put Your Head on My Shoulder" matches "Put Your Head on My Shoulder"
✅ MATCH: "AlRawabi School for Girls" matches "AlRawabi School for Girls"
✅ MATCH: "Arthdal Chronicles" matches "Arthdal Chronicles"
✅ MATCH: "The Falcon and the Winter Soldier" matches "The Falcon and the Winter Soldier"
✅ MATCH: "Mr. Iglesias" matches "Mr. Iglesias"
✅ MATCH: "Hawkeye" matches "Hawkeye"
✅ MATCH: "Abyss" matches "Abyss"
✅ MATCH: "Virgin River" matches "Virgin River"
✅ MATCH: "Radiation House" matches "Radiation House"
✅ MATCH: "High Seas" matches "High Seas"
✅ MATCH: "How to Sell Drugs Online (Fast)" matches "How to Sell Drugs Online (Fast)"
✅ MATCH: "Shinobi no Ittoki" matches "Shinobi no Ittoki"
✅ MATCH: "Yellowjackets" matches "Yellowjackets"
✅ MATCH: "Breeders" matches "Breeders"
✅ MATCH: "The Flight Attendant" matches "The Flight Attendant"
✅ MATCH: "Uzumaki" matches "Uzumaki"
✅ MATCH: "When the Camellia Blooms" matches "When the Camellia Blooms"
✅ MATCH: "Vagabond" matches "Vagabond"
✅ MATCH: "Criminal: UK" matches "Criminal: UK"
✅ MATCH: "Marianne" matches "Marianne"
✅ MATCH: "Melting Me Softly" matches "Melting Me Softly"
✅ MATCH: "Ahiru no Sora" matches "Ahiru no Sora"
✅ MATCH: "Obi-Wan Kenobi" matches "Obi-Wan Kenobi"
✅ MATCH: "She-Hulk: Attorney at Law" matches "She-Hulk: Attorney at Law"
✅ MATCH: "Ms. Marvel" matches "Ms. Marvel"
✅ MATCH: "Moon Knight" matches "Moon Knight"
✅ MATCH: "Flower Crew: Joseon Marriage Agency" matches "Flower Crew: Joseon Marriage Agency"
✅ MATCH: "BNA" matches "BNA"
✅ MATCH: "What If...?" matches "What If...?"
✅ MATCH: "Imitation" matches "Imitation"
✅ MATCH: "Manchild" matches "Manchild"
✅ MATCH: "Heels" matches "Heels"
✅ MATCH: "Midnight Diner: Tokyo Stories" matches "Midnight Diner: Tokyo Stories"
✅ MATCH: "Daughter of Lupin" matches "Daughter of Lupin"
✅ MATCH: "PLUTO" matches "PLUTO"
✅ MATCH: "Motherland: Fort Salem" matches "Motherland: Fort Salem"
✅ MATCH: "Graceful Family" matches "Graceful Family"
✅ MATCH: "Welcome to Demon School! Iruma-kun" matches "Welcome to Demon School! Iruma-kun"
✅ MATCH: "Sorcerous Stabber Orphen" matches "Sorcerous Stabber Orphen"
✅ MATCH: "The Spy" matches "The Spy"
✅ MATCH: "Modern Love" matches "Modern Love"
✅ MATCH: "Ragnarok" matches "Ragnarok"
✅ MATCH: "Gordon Ramsay: Uncharted" matches "Gordon Ramsay: Uncharted"
✅ MATCH: "CEO-dol Mart" matches "CEO-dol Mart"
✅ MATCH: "The Greatest Demon Lord Is Reborn as a Typical Nobody" matches "The Greatest Demon Lord Is Reborn as a Typical Nobody"
✅ MATCH: "Navillera" matches "Navillera"
✅ MATCH: "The Naked Director" matches "The Naked Director"
✅ MATCH: "BEASTARS" matches "BEASTARS"
✅ MATCH: "SAINT SEIYA: Knights of the Zodiac" matches "SAINT SEIYA: Knights of the Zodiac"
✅ MATCH: "This Is Football" matches "This Is Football"
✅ MATCH: "Industry" matches "Industry"
✅ MATCH: "Avenue 5" matches "Avenue 5"
✅ MATCH: "The Sandman" matches "The Sandman"
✅ MATCH: "The Longest Day in Chang'an" matches "The Longest Day in Chang'an"
✅ MATCH: "The Untamed" matches "The Untamed"
✅ MATCH: "The I-Land" matches "The I-Land"
✅ MATCH: "Rookie Historian Goo Hae-Ryung" matches "Rookie Historian Goo Hae-Ryung"
✅ MATCH: "Mythic Quest" matches "Mythic Quest"
✅ MATCH: "SPRIGGAN" matches "SPRIGGAN"
✅ MATCH: "Trese" matches "Trese"
✅ MATCH: "Trackers" matches "Trackers"
✅ MATCH: "Solos" matches "Solos"
✅ MATCH: "Brotherhood" matches "Brotherhood"
✅ MATCH: "Psychopath Diary" matches "Psychopath Diary"
✅ MATCH: "Giri/Haji" matches "Giri/Haji"
✅ MATCH: "VIP" matches "VIP"
✅ MATCH: "Catch The Ghost" matches "Catch The Ghost"
✅ MATCH: "Arcane" matches "Arcane"
✅ MATCH: "Bangkok Love Stories: Plead" matches "Bangkok Love Stories: Plead"
✅ MATCH: "Assault Lily: BOUQUET" matches "Assault Lily BOUQUET"
✅ MATCH: "The Lies Within" matches "The Lies Within"
✅ MATCH: "The Mess You Leave Behind" matches "The Mess You Leave Behind"
✅ MATCH: "Dorohedoro" matches "Dorohedoro"
✅ MATCH: "Nowhere Man" matches "Nowhere Man"
✅ MATCH: "The Walking Dead: World Beyond" matches "The Walking Dead: World Beyond"
✅ MATCH: "Human Resources" matches "Human Resources"
✅ MATCH: "Swagger" matches "Swagger"
✅ MATCH: "My Dress-Up Darling" matches "My Dress-Up Darling"
✅ MATCH: "The Legend of El Cid" matches "The Legend of El Cid"
✅ MATCH: "RIPLEY" matches "RIPLEY"
✅ MATCH: "SAS Rogue Heroes" matches "SAS Rogue Heroes"
✅ MATCH: "Great Pretender" matches "Great Pretender"
✅ MATCH: "The Great" matches "The Great"
✅ MATCH: "Into the Night" matches "Into the Night"
✅ MATCH: "Tribes of Europa" matches "Tribes of Europa"
✅ MATCH: "Barbarians" matches "Barbarians"
✅ MATCH: "Tales from the Loop" matches "Tales from the Loop"
✅ MATCH: "Dr. Death" matches "Dr. Death"
✅ MATCH: "Jurassic World Camp Cretaceous" matches "Jurassic World Camp Cretaceous"
✅ MATCH: "Foundation" matches "Foundation"
✅ MATCH: "Age of Samurai: Battle for Japan" matches "Age of Samurai: Battle for Japan"
✅ MATCH: "The Mosquito Coast" matches "The Mosquito Coast"
✅ MATCH: "Extraordinary You" matches "Extraordinary You"
✅ MATCH: "In/Spectre" matches "In/Spectre"
✅ MATCH: "Sherlock" matches "Sherlock"
✅ MATCH: "A Couple of Cuckoos" matches "A Couple of Cuckoos"
✅ MATCH: "The Tale of Nokdu" matches "The Tale of Nokdu"
✅ MATCH: "Jupiter's Legacy" matches "Jupiter's Legacy"
✅ MATCH: "The Serpent" matches "The Serpent"
✅ MATCH: "Squid Game" matches "Squid Game"
✅ MATCH: "Raising Dion" matches "Raising Dion"
✅ MATCH: "The Family Man" matches "The Family Man"
✅ MATCH: "Expats" matches "Expats"
✅ MATCH: "Daisy Jones & the Six" matches "Daisy Jones & the Six"
✅ MATCH: "Falling Into Your Smile" matches "Falling Into Your Smile"
✅ MATCH: "Slow Horses" matches "Slow Horses"
✅ MATCH: "JUJUTSU KAISEN" matches "JUJUTSU KAISEN"
✅ MATCH: "The Peripheral" matches "The Peripheral"
✅ MATCH: "Severance" matches "Severance"
✅ MATCH: "Shantaram" matches "Shantaram"
✅ MATCH: "The Rational Life" matches "The Rational Life"
✅ MATCH: "Rainkissed Fate" matches "Rainkissed Fate"
✅ MATCH: "Toilet-Bound Hanako-kun" matches "Toilet-Bound Hanako-kun"
✅ MATCH: "Dare Me" matches "Dare Me"
✅ MATCH: "Gossip Girl" matches "Gossip Girl"
✅ MATCH: "Diary of a Prosecutor" matches "Diary of a Prosecutor"
✅ MATCH: "Reservation Dogs" matches "Reservation Dogs"
✅ MATCH: "Prehistoric Planet" matches "Prehistoric Planet"
✅ MATCH: "A Little Thing Called First Love" matches "A Little Thing Called First Love"
✅ MATCH: "Black Dog" matches "Black Dog"
✅ MATCH: "Superman & Lois" matches "Superman & Lois"
✅ MATCH: "The Oath of Love" matches "The Oath of Love"
✅ MATCH: "The Stranded" matches "The Stranded"
✅ MATCH: "House of the Dragon" matches "House of the Dragon"
✅ MATCH: "Hazbin Hotel" matches "Hazbin Hotel"
✅ MATCH: "Kyojo" matches "Kyojo"
✅ MATCH: "Summer Guys" matches "Summer Guys"
✅ MATCH: "Midnight Mass" matches "Midnight Mass"
✅ MATCH: "Twilight of the Gods" matches "Twilight of the Gods"
✅ MATCH: "Nobody Knows" matches "Nobody Knows"
✅ MATCH: "Hi Bye, Mama!" matches "Hi Bye, Mama!"
✅ MATCH: "Love, Victor" matches "Love, Victor"
✅ MATCH: "Fate: The Winx Saga" matches "Fate: The Winx Saga"
✅ MATCH: "The Disastrous Life of Saiki K.: Reawakened" matches "The Disastrous Life of Saiki K.: Reawakened"
✅ MATCH: "Yanxi Palace: Princess Adventures" matches "Yanxi Palace: Princess Adventures"
✅ MATCH: "When the Weather Is Fine" matches "When the Weather Is Fine"
✅ MATCH: "The Silent Sea" matches "The Silent Sea"
✅ MATCH: "High Fidelity" matches "High Fidelity"
✅ MATCH: "James May: Our Man in…" matches "James May: Our Man in…"
✅ MATCH: "Big Shot" matches "Big Shot"
✅ MATCH: "Lupin" matches "Lupin"
✅ MATCH: "He-Man and the Masters of the Universe" matches "He-Man and the Masters of the Universe"
✅ MATCH: "takt op.Destiny" matches "takt op.Destiny"
✅ MATCH: "Sweet Home" matches "Sweet Home"
✅ MATCH: "The Stranger" matches "The Stranger"
✅ MATCH: "Move to Heaven" matches "Move to Heaven"
✅ MATCH: "Rise of Empires: Ottoman" matches "Rise of Empires: Ottoman"
✅ MATCH: "It's Okay to Not Be Okay" matches "It's Okay to Not Be Okay"
✅ MATCH: "BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense." matches "BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense."
✅ MATCH: "The Gift" matches "The Gift"
✅ MATCH: "Luna Nera" matches "Luna Nera"
✅ MATCH: "Rent-a-Girlfriend" matches "Rent-a-Girlfriend"
✅ MATCH: "Chimera" matches "Chimera"
✅ MATCH: "White House Plumbers" matches "White House Plumbers"
✅ MATCH: "The World of the Married" matches "The World of the Married"
✅ MATCH: "Itaewon Class" matches "Itaewon Class"
✅ MATCH: "My Holo Love" matches "My Holo Love"
✅ MATCH: "Next in Fashion" matches "Next in Fashion"
✅ MATCH: "Hospital Playlist" matches "Hospital Playlist"
✅ MATCH: "Triad Princess" matches "Triad Princess"
✅ MATCH: "A Date With the Future" matches "A Date With the Future"
✅ MATCH: "The Prince of Tennis ~ Match! Tennis Juniors ~" matches "The Prince of Tennis ~ Match! Tennis Juniors ~"
✅ MATCH: "Joy of Life" matches "Joy of Life"
✅ MATCH: "Lisey's Story" matches "Lisey's Story"
✅ MATCH: "La Grande Maison Tokyo" matches "La Grande Maison Tokyo"
✅ MATCH: "Inventing Anna" matches "Inventing Anna"
✅ MATCH: "Super Cub" matches "Super Cub"
✅ MATCH: "Home for Christmas" matches "Home for Christmas"
✅ MATCH: "Fast & Furious Spy Racers" matches "Fast & Furious Spy Racers"
✅ MATCH: "The Power" matches "The Power"
✅ MATCH: "Invincible" matches "INVINCIBLE"
✅ MATCH: "Mystic Pop-up Bar" matches "Mystic Pop-up Bar"
✅ MATCH: "The Penthouse" matches "The Penthouse"
✅ MATCH: "Ikebukuro West Gate Park" matches "Ikebukuro West Gate Park"
✅ MATCH: "A Time Called You" matches "A Time Called You"
